"entity_id","prod_sku","prod_libelle","sd_code_sogge","sd_marque","sd_volume","sd_conditionnement","rpd_grouping_code","rpd_libelle","semantic"
"84186","fb-99449","PAGO NECTAR MANGO               12X20CL","84sogge-1226","PAGO","20CL","BTL","94sogge-640","PAGO NECTAR MANGO               12X20CL"," marque:pago   extra:nectar  MANGO                  cont:20cl  col:12"
"82220","mp-120819","PAGO NECTAR MANGO 12 X20CL","84sogge-1226","PAGO","20CL","BTL","94sogge-640","PAGO NECTAR MANGO 12 X20CL"," marque:pago   extra:nectar  MANGO    cont:20cl  col:12"
"68315","c10-1100002413","PAGO NECTAR MANGO 20CL VP X12","84sogge-1226","PAGO","20CL","BTL","94sogge-640","PAGO NECTAR MANGO 20CL VP X12"," marque:pago   extra:nectar  MANGO  cont:20cl   cond:vp     col:12"
"82219","mp-120818","PAGO  FRAISE 12X20CL","84sogge-1227","PAGO","20CL","BTL","","",""
"84176","fb-99448","PAGO FRAISE                     12X20CL","84sogge-1227","PAGO","20CL","BTL","","",""
"68297","c10-1100002412","PAGO FRAISE 20CL VP X12","84sogge-1227","PAGO","20CL","BTL","","",""
"84190","fb-99467","PAGO NECTAR POIRE               12X20CL","84sogge-1234","PAGO","20CL","BTL","94sogge-406","PAGO NECTAR POIRE               12X20CL"," marque:pago   extra:nectar   parfum:poire                   cont:20cl  col:12"
"82224","mp-120823","PAGO NECTAR POIRE 12 X20CL","84sogge-1234","PAGO","20CL","BTL","94sogge-406","PAGO NECTAR POIRE 12 X20CL"," marque:pago   extra:nectar   parfum:poire     cont:20cl  col:12"
"68330","c10-1100002416","PAGO NECTAR POIRE 20CL VP X12","84sogge-1234","PAGO","20CL","BTL","94sogge-406","PAGO NECTAR POIRE 20CL VP X12"," marque:pago   extra:nectar   parfum:poire   cont:20cl   cond:vp     col:12"
"82227","mp-120827","PAGO NECT PAMPLEMOUSSE 12X20CL","84sogge-1236","PAGO","20CL","BTL","94sogge-221","PAGO NECT PAMPLEMOUSSE 12X20CL"," marque:pago   extra:nectar   parfum:pamplemousse     cont:20cl  col:12"
"82247","mp-9202","PAGO NECT PAMPLEMOUSSE 24X20CL","84sogge-1236","PAGO","20CL","BTL","","",""
"68325","c10-1100002419","PAGO NECTAR PAMPLEMOUSSE 20CL VP X12","84sogge-1236","PAGO","20CL","BTL","94sogge-221","PAGO NECTAR PAMPLEMOUSSE 20CL VP X12"," marque:pago   extra:nectar   parfum:pamplemousse   cont:20cl   cond:vp     col:12"
"82226","mp-120826","PAGO JUS 100% TOMATE 12 X20CL","84sogge-1237","PAGO","20CL","BTL","94sogge-407","PAGO JUS 100% TOMATE 12 X20CL"," marque:pago   extra:jus  100%  parfum:tomate     cont:20cl  col:12"
"84180","fb-99470","PAGO JUS TOMATE                 12X20CL","84sogge-1237","PAGO","20CL","BTL","94sogge-407","PAGO JUS TOMATE                 12X20CL"," marque:pago   extra:jus   parfum:tomate                     cont:20cl  col:12"
"68341","c10-1100002420","PAGO PJ TOMATE 20CL VP X12","84sogge-1237","PAGO","20CL","BTL","94sogge-407","PAGO PJ TOMATE 20CL VP X12"," marque:pago   extra:jus   parfum:tomate   cont:20cl   cond:vp     col:12"
"68280","c10-1100000798","PAGO ABC TROPICAL MULTIVITA 20CL VP X24","84sogge-1308","PAGO","20CL","BTL","","",""
"82238","mp-2964","PAGO COCKT. TROPICAL 24X20CL","84sogge-1308","PAGO","20CL","BTL","","",""
"82209","mp-120741","PAGO BIO POMME PRESSEE 12X33CL","84sogge-1315","PAGO","33CL","PET","94sogge-2","PAGO BIO POMME PRESSEE 12X33CL"," marque:pago   extra:bio   parfum:pomme   extra:pressee     cont:33cl  col:12"
"68339","c10-1100004698","PAGO PJ POMME PRESSEE BIO 33CL PET X12","84sogge-1315","PAGO","33CL","PET","94sogge-2","PAGO PJ POMME PRESSEE BIO 33CL PET X12"," marque:pago   extra:jus   parfum:pomme   extra:pressee   extra:bio   cont:33cl   cond:pet     col:12"
"84269","fb-108682","PAGO NECTAR ANANAS       PET 12X33CL","84sogge-1366","PAGO","33CL","PET","94sogge-232","PAGO NECTAR ANANAS       PET 12X33CL"," marque:pago   extra:nectar   parfum:ananas         cond:pet     cont:33cl  col:12"
