entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_conditionnement,sd_volume,sd_industriel,
36296,c10-1100000312,FANTA WORLD MEXIQUE BTE 33CL X24,,FANTA WORLD,BTE,33CL,COCA COLA ENTREPRISE,
36302,c10-1100007210,FINLEY CITRON SUREAU 1L PET X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
82003,mp-140451,FINLEY ORANGE PET 50CL X 12,,FINLEY,,,COCA COLA ENTREPRISE,
36304,c10-1100005678,FINLEY CITRON SUREAU 25CL BTE X6,,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36325,c10-1200045627,FINLEY TONIC BTE 25CL X24,,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36308,c10-1100007214,FINLEY MOJITO PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
36317,c10-1100006222,FINLEY PINA COLADA 1.5L X12,,FINLEY,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36306,c10-1100005245,FINLEY MOJITO 1.5L X6,,FINLEY,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36301,c10-1100004427,FINLEY CITRON SUREAU 1.5L PET X6,,FINLEY,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36298,c10-1100007213,FINLEY AGRUME GRENADE PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
36320,c10-1100005637,FINLEY ROYALE 25CL BTE X24,,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
82002,mp-457,BIB FINLEY 5 L,,FINLEY,,,COCA COLA ENTREPRISE,
36323,c10-1100007217,FINLEY SPRITZ PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
36315,c10-1100005676,FINLEY PAMPLEMOUSSE 25CL BTE X6,,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36313,c10-1100004426,FINLEY PAMPL ORANGE SANGUINE PET 1.5L X6,,FINLEY,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36321,c10-1100005891,FINLEY SPRITZ 1.5L PET X6,,FINLEY,PET,1.5L,COCA COLA ENTREPRISE,COCA COLA ENTREPRISE
36322,c10-1100005636,FINLEY SPRITZ 25CL BTE X24,,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36314,c10-1100007212,FINLEY PAMPL ORANGE SANGUINE PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
36319,c10-1100007216,FINLEY ROYAL PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
83696,fb-10380,FINLEY TONIC                      BIB 5L,,FINLEY,,,COCA COLA ENTREPRISE,
36299,c10-1200057669,FINLEY AGRUMES 20CL VC X24,,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
36310,c10-1100007211,FINLEY ORANGE CRANBERRY 1L PET X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
82004,mp-140452,FINLEY CITRON PET 50CL X 12,,FINLEY,,,COCA COLA ENTREPRISE,
36300,c10-1100000314,FINLEY BIB 5L,,FINLEY,BIB,5L,COCA COLA ENTREPRISE,
36309,c10-1100005665,FINLEY MOJITO PET 50CL X12,,FINLEY,PET,50CL,COCA COLA ENTREPRISE,
36318,c10-1100007215,FINLEY PINA COLADA PET 1L X6,,FINLEY,PET,1L,COCA COLA ENTREPRISE,
36307,c10-1200045626,FINLEY MOJITO 25CL BTE SLIM X24,84sogge-1089,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
83708,fb-109764,FINLEY MOJITO SLIM CAN BTE      4X6X25CL,84sogge-1089,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
82005,mp-150582,FINLEY PAMPLE.ORANGE24X20CL VC,84sogge-1179,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
36312,c10-1100004320,FINLEY PAMPL ORANGE SANGUINE 20CL VC X24,84sogge-1179,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
83847,fb-106693,FINLEY PAMPLE ORANGE SANGUINE GC VC24X20,84sogge-1179,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
82007,mp-140449,BTE FINLEY CITRON 25 CL X 24,84sogge-1577,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36303,c10-1100003697,FINLEY CITRON SUREAU 25CL BTE X24,84sogge-1577,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36316,c10-1100003512,FINLEY PAMPLEMOUSSE OR SANG 50CL PET X12,84sogge-620,FINLEY,PET,50CL,COCA COLA ENTREPRISE,
83949,fb-103502,FINLEY PAMPL ORANGE SANGUINE 3M PET12X50,84sogge-620,FINLEY,PET,50CL,COCA COLA ENTREPRISE,
36305,c10-1100003511,FINLEY CITRON SUREAU 50CL PET X12,84sogge-621,FINLEY,PET,50CL,COCA COLA ENTREPRISE,
83948,fb-103501,FINLEY CITRON FLEUR DE SUREAU 3MPET12X50,84sogge-621,FINLEY,PET,50CL,COCA COLA ENTREPRISE,
83848,fb-106694,FINLEY TONIC GC              VC 24X20 CL,84sogge-654,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
36324,c10-1200040970,FINLEY TONIC 20CL VC X24,84sogge-654,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
82006,mp-150583,FINLEY TONIC 24X20CL VC,84sogge-654,FINLEY,BTL,20CL,COCA COLA ENTREPRISE,
82008,mp-140450,BTE FINLEY ORANGE 25 CL X 24,87sogge-32,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36311,c10-1100003696,FINLEY PAMPL OR SANG 25CL BTE SLIM X24,87sogge-32,FINLEY,BTE,25CL,COCA COLA ENTREPRISE,
36329,c10-1100001761,MINUTE MAID LIMON NADA 33CL BTE X24,,FRUIT & NADA,BTE,33CL,COCA COLA ENTREPRISE,
36328,c10-1200020557,MINUTE MAID CITRONNADE 50CL PET X24,,FRUIT & NADA,PET,50CL,COCA COLA ENTREPRISE,
36332,c10-1100002810,MINUTE MAID ORANGE NADA 50CL PET X12,,FRUIT & NADA,PET,50CL,COCA COLA ENTREPRISE,
36327,c10-1100002750,FRUIT & NADA CITRON 50CL PET X12,,FRUIT & NADA,PET,50CL,COCA COLA ENTREPRISE,
36330,c10-1200006089,MINUTE MAID LIMON NADA 50CL PET X12,,FRUIT & NADA,PET,50CL,COCA COLA ENTREPRISE,
36326,c10-1200024914,FRUIT & NADA CITRON 33CL BTE X24,,FRUIT & NADA,BTE,33CL,COCA COLA ENTREPRISE,
36331,c10-1100002811,MINUTE MAID ORANGE NADA 33CL BTE X24,87sogge-46,FRUIT & NADA,BTE,33CL,COCA COLA ENTREPRISE,
84117,fb-10239,MINUTE MAID ORANGE           BTE 24X33CL,87sogge-46,FRUIT & NADA,BTE,33CL,COCA COLA ENTREPRISE,
36333,c10-1100008071,FUZE TEA MANGUE HARMONY 33CL BTE SLIMX24,,FUZE TEA,BTE,33CL,COCA COLA ENTREPRISE,
83908,fb-112948,FUZETEA PECHE GOURMANDE      PET 6X125CL,,FUZE TEA,,,COCA COLA ENTREPRISE,
36335,c10-1100007787,FUZE TEA PECHE 1.25L PET X6,,FUZE TEA,BTL,1.25L,25L,COCA COLA ENTREPRISE
86315,fb-280170,FUZETEA PECHE VP 24X25 CL,,FUZE TEA,,,COCA COLA ENTREPRISE,
83727,fb-112946,FUZETEA TH.VERT MANG.CAMOMIL BTE 24X33CL,,FUZE TEA,,,COCA COLA ENTREPRISE,
